PARK_ID,RINK_ID,NAME,ADDRESS,WARD,ALTERNATE_NAME,MAJOR_CROSSSTREETS,FACILITY,PUBLIC_CHANGE_SPACE,BOARDS_Y_N,BOARDS_TYPE,TOILET,LIGHTS_TYPE,RINK_TYPE,SUPERVISION,ICE_MAINTENANCE,PARK_ADDRESS_FR,INSTALLATION_FR,SPACE_CHANGEMENT_PUBLIQUE_FR,PANNEAUX_Y_N_FR,PANNEAUX_FR,TOILETTE_FR,LUMI?RES_FR,PATINOIRE_TYPE_FR,SUPERVISION_FR,NAME_FR,OPEN_2012,Latitude,Longitude
374,97,CYPRESS GARDENS PARK,33 ELM CRES Goulbourn,6,,Elm/Stittsville,FIELDHOUSE,,YES,TEMP,NO,PERM,RINK with Puddle,NO,Community,"33, crois ELM",Pavillon,,Oui,Temp,Non,Oui,patinoire avec flaque,Non,PARC CYPRESS GARDENS,Y,45.24990000230,-75.91846666710
812,115,MCNABB PARK,435 BRONSON AVE Old Ottawa,14,,Bronson/Gladston,COMMUNITY CENTER,,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"435, av BRONSON",Centre communautaire,,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC MCNABB,Y,45.40867507960,-75.70284104250
16,217,EMERALD WOODS PARK,3795 ALDERWOOD ST Gloucester,10,,Alderwood/Autumnwood,NONE,NO,NO,NONE,NO,NONE,Puddle,NO,City,"3795, rue ALDERWOOD",None,Non,Non,Non,Non,Non,flaque,Non,PARC EMERALD WOODS,Y,45.34513414630,-75.64023423680
10,208,ALADDIN PARK,3939 ALBION RD Gloucester,10,,Albion/Aladin,NONE,NO,YES,TEMP,NO,PERM,RINK,NO,City,"3939, ch ALBION",None,Non,Oui,Temp,Non,Oui,patinoire,Non,PARC ALADDIN,Y,45.34110129080,-75.63516356290
964,241,SIEVERIGHT PARK,2999 SABLE RIDGE DR Gloucester,10,,Sable Ridge/Courtyard,NONE,NO,YES,TEMP,NO,PERM,RINK,NO,City,"2999, prom SABLE RIDGE",None,Non,Oui,Temp,Non,Oui,patinoire,Non,PARC SIEVERIGHT,Y,45.35632167850,-75.63528426230
122,213,CALZAVARA FAMILY PARK,1602 BLOHM DR Old Ottawa,10,,Johnson/Blohm,TRAILER,YES,YES,TEMP,NO,TEMP,RINK with Puddle,YES,Community,"1602, prom BLOHM",Trailer,Oui,Oui,Temp,Non,Oui,patinoire avec flaque,Oui,PARC CALZAVARA FAMILY,Y,45.37445905510,-75.60821959190
23,184,DALE PARK,1590 ALTA VISTA DR Old Ottawa,18,,Alta Vista/Industrial,SHACK,NO,NO,NONE,NO,NONE,Puddle,NO,Community,"1590, prom ALTA VISTA",Cabane,Non,Non,Non,Non,Non,flaque,Non,PARC DALE,Y,45.40964253180,-75.65974644740
839,200,PRESLAND PARK,368 PRESLAND RD Old Ottawa,13,,Presland/Naughton,(NONE) NO TRAILER,NO,YES,TEMP,NO,TEMP,Rink,NO,Community,"368, ch PRESLAND",Aucon,Non,Oui,Temp,Non,Oui,patinoire,Non,PARC PRESLAND,Y,45.42291585030,-75.64920013880
245,189,JULES MORIN PARK / ANGLESEA PARK,400 CLARENCE ST Old Ottawa,12,,Cobourg/Old St. Patrick,FIELDHOUSE,YES,YES,TEMP,YES,PERM,RINK with Puddle,YES,Community,"400, rue CLARENCE",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC JULES-MORIN  / PARC ANGLESEA,Y,45.43325778350,-75.68228345510
484,224,KEMP PARK,11 ROBERT KEMP,10,,Kemp Dr./Robert Kemp St.,NONE,NO,YES,TEMP,NO,NONE,Puddle,NO,City,"11, rue ROBERT KEMP",None,Non,Oui,Temp,Non,Non,flaque,Non,PARC KEMP,Y,45.33643810180,-75.60646505130
